head_dim,sequence_length,batch_size,compile_attention,status,forward_s,backward_s,mem_before_backward_mb
16,64,8,True,ok,0.00028904142999977014,0.0006101242300019294,16.6328125
16,128,8,True,ok,0.0003533609700002671,0.0006090661599978376,17.515625
16,256,8,True,ok,0.00035242167999967935,0.0006243149099964284,20.78125
16,512,8,True,ok,0.0003515136900000471,0.0006194539199987048,33.3125
16,1024,8,True,ok,0.0007869523199997275,0.002107559130001846,82.375
16,2048,8,True,ok,0.002789863110000397,0.007797484170006328,276.5
16,4096,8,True,ok,0.011981725399999732,0.029299133580003626,1048.75
16,8192,8,True,ok,0.053339670450000085,0.12008844845000567,4129.25
16,16384,8,True,oom,nan,nan,nan
16,32768,8,True,oom,nan,nan,nan
32,64,8,True,ok,0.0003690489400003116,0.0006014320700001008,16.7578125
32,128,8,True,ok,0.0003694902900008401,0.0006048477600029401,17.765625
32,256,8,True,ok,0.00037738089999947986,0.0006255253599988464,21.28125
32,512,8,True,ok,0.0003752059400005692,0.000640018640000335,34.3125
32,1024,8,True,ok,0.0008215916699998616,0.002169633270002578,84.375
32,2048,8,True,ok,0.00324481000999981,0.008087581280003633,280.5
32,4096,8,True,ok,0.014223899030000667,0.03188974362000636,1056.75
32,8192,8,True,ok,0.05745605972000021,0.12463424640000198,4145.25
32,16384,8,True,oom,nan,nan,nan
32,32768,8,True,oom,nan,nan,nan
64,64,8,True,ok,0.0003695982399995046,0.000601862209994124,17.0078125
64,128,8,True,ok,0.0003726973699997416,0.0006191085699947508,18.265625
64,256,8,True,ok,0.0003735183499998129,0.0006229051900015748,22.28125
64,512,8,True,ok,0.0004645630900006381,0.0006796947000032106,36.3125
64,1024,8,True,ok,0.0011029053699996893,0.002285221729996465,88.375
64,2048,8,True,ok,0.0033517551099998856,0.008338450669996292,288.5
64,4096,8,True,ok,0.013107553969999798,0.031756229739997935,1072.75
64,8192,8,True,ok,0.05346256619000087,0.12859403190000648,4177.25
64,16384,8,True,oom,nan,nan,nan
64,32768,8,True,oom,nan,nan,nan
128,64,8,True,ok,0.00036917262999963896,0.0005930434300034904,17.5078125
128,128,8,True,ok,0.0003674461100001736,0.0006074708099947656,19.265625
128,256,8,True,ok,0.00036737030999915986,0.0006064670400064643,24.28125
128,512,8,True,ok,0.000473750779999591,0.0007203573300000698,40.3125
128,1024,8,True,ok,0.0012384745500003192,0.0024008237899977303,96.375
128,2048,8,True,ok,0.00407693399999971,0.009065140580003118,304.5
128,4096,8,True,ok,0.016144054449999886,0.036027648510000745,1104.75
128,8192,8,True,ok,0.06470245421999948,0.13854094003,4241.25
128,16384,8,True,oom,nan,nan,nan
128,32768,8,True,oom,nan,nan,nan
