model_size,mode,warmup_steps,mean_s,stdev_s,min_s,max_s,n
medium,forward-backward,0,0.08717406020005,0.003212668747280196,0.08482404599999427,0.09602852300031373,10.0
medium,forward-backward,1,0.08679804650000733,0.00208516402959406,0.08400538699970639,0.09101053999984288,10.0
medium,forward-backward,2,0.08696138999998766,0.002757831566185974,0.08346207000022332,0.09312062099979812,10.0
medium,forward-backward,5,0.08477355100003478,0.0011504819530740245,0.08279825700037691,0.08604647599986492,10.0
medium,forward-backward,10,0.0838292105999244,0.0008006605395016238,0.08300716400026431,0.08546637600011309,10.0
