model_size,mode,warmup_steps,mean_s,stdev_s,min_s,max_s,n
small,forward,5,0.02360367330002191,0.000588895382307796,0.022992011000042112,0.02472255500015308,10.0
small,forward-backward,5,0.05618857819995356,0.0012332409262948386,0.05485128100008296,0.05884482700002991,10.0
medium,forward,5,0.0374494864001008,0.0010553013125618003,0.036328212000171334,0.039209903000028135,10.0
medium,forward-backward,5,0.08380018489992835,0.001438949496601891,0.0822704139995949,0.08684385400010797,10.0
large,forward,5,0.07386409230002755,0.0011760712934982575,0.07217554400040171,0.07585733199994138,10.0
large,forward-backward,5,0.22037180790007369,0.0019059920793261418,0.2178057340001942,0.22355424199986373,10.0
